"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","BOP","TOT","PC_GDP","A","1995",-2.859428,
"AUT","BOP","TOT","PC_GDP","A","1996",-2.837173,
"AUT","BOP","TOT","PC_GDP","A","1997",-2.54446,
"AUT","BOP","TOT","PC_GDP","A","1998",-1.867106,
"AUT","BOP","TOT","PC_GDP","A","1999",-2.260479,
"AUT","BOP","TOT","PC_GDP","A","2000",-0.7078437,
"AUT","BOP","TOT","PC_GDP","A","2001",-0.7958279,
"AUT","BOP","TOT","PC_GDP","A","2002",2.10157,
"AUT","BOP","TOT","PC_GDP","A","2003",1.546607,
"AUT","BOP","TOT","PC_GDP","A","2004",2.075526,
"AUT","BOP","TOT","PC_GDP","A","2005",2.257994,
"AUT","BOP","TOT","PC_GDP","A","2006",3.294322,
"AUT","BOP","TOT","PC_GDP","A","2007",3.802408,
"AUT","BOP","TOT","PC_GDP","A","2008",4.48969,
"AUT","BOP","TOT","PC_GDP","A","2009",2.596825,
"AUT","BOP","TOT","PC_GDP","A","2010",2.855051,
"AUT","BOP","TOT","PC_GDP","A","2011",1.630936,
"AUT","BOP","TOT","PC_GDP","A","2012",1.48249,
"AUT","BOP","TOT","PC_GDP","A","2013",1.942205,
"AUT","BOP","TOT","PC_GDP","A","2014",2.47369,
"AUT","BOP","TOT","PC_GDP","A","2015",1.725394,
"AUT","BOP","TOT","PC_GDP","A","2016",2.723933,
"AUT","BOP","TOT","PC_GDP","A","2017",1.373991,
"AUT","BOP","TOT","PC_GDP","A","2018",0.9044586,
"AUT","BOP","TOT","PC_GDP","A","2019",2.092481,
"AUT","BOP","TOT","PC_GDP","A","2020",1.899185,
"BEL","BOP","TOT","PC_GDP","A","2003",3.536817,
"BEL","BOP","TOT","PC_GDP","A","2004",3.285223,
"BEL","BOP","TOT","PC_GDP","A","2005",2.108687,
"BEL","BOP","TOT","PC_GDP","A","2006",1.915518,
"BEL","BOP","TOT","PC_GDP","A","2007",1.968031,
"BEL","BOP","TOT","PC_GDP","A","2008",-1.007346,
"BEL","BOP","TOT","PC_GDP","A","2009",1.602425,
"BEL","BOP","TOT","PC_GDP","A","2010",1.633277,
"BEL","BOP","TOT","PC_GDP","A","2011",-1.951463,
"BEL","BOP","TOT","PC_GDP","A","2012",-0.07561136,
"BEL","BOP","TOT","PC_GDP","A","2013",0.9463101,
"BEL","BOP","TOT","PC_GDP","A","2014",0.7708317,
"BEL","BOP","TOT","PC_GDP","A","2015",1.37997,
"BEL","BOP","TOT","PC_GDP","A","2016",0.5624985,
"BEL","BOP","TOT","PC_GDP","A","2017",0.7005551,
"BEL","BOP","TOT","PC_GDP","A","2018",-0.8047066,
"BEL","BOP","TOT","PC_GDP","A","2019",0.1458076,
"BEL","BOP","TOT","PC_GDP","A","2020",0.8259718,"P"
"CZE","BOP","TOT","PC_GDP","A","1995",-2.276872,
"CZE","BOP","TOT","PC_GDP","A","1996",-6.104141,
"CZE","BOP","TOT","PC_GDP","A","1997",-5.786894,
"CZE","BOP","TOT","PC_GDP","A","1998",-1.882871,
"CZE","BOP","TOT","PC_GDP","A","1999",-2.251455,
"CZE","BOP","TOT","PC_GDP","A","2000",-4.386143,
"CZE","BOP","TOT","PC_GDP","A","2001",-4.856487,
"CZE","BOP","TOT","PC_GDP","A","2002",-5.071005,
"CZE","BOP","TOT","PC_GDP","A","2003",-5.676173,
"CZE","BOP","TOT","PC_GDP","A","2004",-3.757173,
"CZE","BOP","TOT","PC_GDP","A","2005",-2.112085,
"CZE","BOP","TOT","PC_GDP","A","2006",-2.442245,
"CZE","BOP","TOT","PC_GDP","A","2007",-4.582458,
"CZE","BOP","TOT","PC_GDP","A","2008",-1.869585,
"CZE","BOP","TOT","PC_GDP","A","2009",-2.252009,
"CZE","BOP","TOT","PC_GDP","A","2010",-3.541201,
"CZE","BOP","TOT","PC_GDP","A","2011",-2.094458,
"CZE","BOP","TOT","PC_GDP","A","2012",-1.548782,
"CZE","BOP","TOT","PC_GDP","A","2013",-0.5393522,
"CZE","BOP","TOT","PC_GDP","A","2014",0.1922667,
"CZE","BOP","TOT","PC_GDP","A","2015",0.4470931,
"CZE","BOP","TOT","PC_GDP","A","2016",1.789378,
"CZE","BOP","TOT","PC_GDP","A","2017",1.564971,
"CZE","BOP","TOT","PC_GDP","A","2018",0.4362242,
"CZE","BOP","TOT","PC_GDP","A","2019",0.3313695,
"CZE","BOP","TOT","PC_GDP","A","2020",1.951093,
"DNK","BOP","TOT","PC_GDP","A","2005",4.190618,
"DNK","BOP","TOT","PC_GDP","A","2006",3.330325,
"DNK","BOP","TOT","PC_GDP","A","2007",1.429468,
"DNK","BOP","TOT","PC_GDP","A","2008",2.916387,
"DNK","BOP","TOT","PC_GDP","A","2009",3.465112,
