"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGDEBT","TOT","PC_GDP","A","1995",69.17403,
"AUT","GGDEBT","TOT","PC_GDP","A","1996",69.71158,
"AUT","GGDEBT","TOT","PC_GDP","A","1997",65.372,
"AUT","GGDEBT","TOT","PC_GDP","A","1998",67.11701,
"AUT","GGDEBT","TOT","PC_GDP","A","1999",70.72529,
"AUT","GGDEBT","TOT","PC_GDP","A","2000",71.04991,
"AUT","GGDEBT","TOT","PC_GDP","A","2001",72.1219,
"AUT","GGDEBT","TOT","PC_GDP","A","2002",74.02462,
"AUT","GGDEBT","TOT","PC_GDP","A","2003",72.53215,
"AUT","GGDEBT","TOT","PC_GDP","A","2004",71.7653,
"AUT","GGDEBT","TOT","PC_GDP","A","2005",76.25182,
"AUT","GGDEBT","TOT","PC_GDP","A","2006",72.68636,
"AUT","GGDEBT","TOT","PC_GDP","A","2007",68.96463,
"AUT","GGDEBT","TOT","PC_GDP","A","2008",74.19278,
"AUT","GGDEBT","TOT","PC_GDP","A","2009",86.33044,
"AUT","GGDEBT","TOT","PC_GDP","A","2010",90.54397,
"AUT","GGDEBT","TOT","PC_GDP","A","2011",91.4737,
"AUT","GGDEBT","TOT","PC_GDP","A","2012",97.33756,
"AUT","GGDEBT","TOT","PC_GDP","A","2013",94.3597,
"AUT","GGDEBT","TOT","PC_GDP","A","2014",101.8692,
"AUT","GGDEBT","TOT","PC_GDP","A","2015",101.2852,
"AUT","GGDEBT","TOT","PC_GDP","A","2016",102.5335,
"AUT","GGDEBT","TOT","PC_GDP","A","2017",96.27682,
"AUT","GGDEBT","TOT","PC_GDP","A","2018",90.80019,
"AUT","GGDEBT","TOT","PC_GDP","A","2019",89.13332,
"AUT","GGDEBT","TOT","PC_GDP","A","2020",107.3411,
"BEL","GGDEBT","TOT","PC_GDP","A","1995",139.3217,
"BEL","GGDEBT","TOT","PC_GDP","A","1996",141.0966,
"BEL","GGDEBT","TOT","PC_GDP","A","1997",135.4402,
"BEL","GGDEBT","TOT","PC_GDP","A","1998",139.397,
"BEL","GGDEBT","TOT","PC_GDP","A","1999",127.9947,
"BEL","GGDEBT","TOT","PC_GDP","A","2000",121.6588,
"BEL","GGDEBT","TOT","PC_GDP","A","2001",120.0464,
"BEL","GGDEBT","TOT","PC_GDP","A","2002",119.5324,
"BEL","GGDEBT","TOT","PC_GDP","A","2003",115.7454,
"BEL","GGDEBT","TOT","PC_GDP","A","2004",111.3621,
"BEL","GGDEBT","TOT","PC_GDP","A","2005",108.9884,
"BEL","GGDEBT","TOT","PC_GDP","A","2006",101.0699,
"BEL","GGDEBT","TOT","PC_GDP","A","2007",94.63382,
"BEL","GGDEBT","TOT","PC_GDP","A","2008",102.3672,
"BEL","GGDEBT","TOT","PC_GDP","A","2009",110.7298,
"BEL","GGDEBT","TOT","PC_GDP","A","2010",108.6802,
"BEL","GGDEBT","TOT","PC_GDP","A","2011",111.6199,
"BEL","GGDEBT","TOT","PC_GDP","A","2012",120.9842,
"BEL","GGDEBT","TOT","PC_GDP","A","2013",118.6525,
"BEL","GGDEBT","TOT","PC_GDP","A","2014",130.6015,
"BEL","GGDEBT","TOT","PC_GDP","A","2015",126.2408,
"BEL","GGDEBT","TOT","PC_GDP","A","2016",127.6686,
"BEL","GGDEBT","TOT","PC_GDP","A","2017",120.8399,
"BEL","GGDEBT","TOT","PC_GDP","A","2018",117.7801,
"BEL","GGDEBT","TOT","PC_GDP","A","2019",119.714,
"BEL","GGDEBT","TOT","PC_GDP","A","2020",140.7059,
"CZE","GGDEBT","TOT","PC_GDP","A","1995",18.05193,
"CZE","GGDEBT","TOT","PC_GDP","A","1996",16.65339,
"CZE","GGDEBT","TOT","PC_GDP","A","1997",17.02323,
"CZE","GGDEBT","TOT","PC_GDP","A","1998",17.89941,
"CZE","GGDEBT","TOT","PC_GDP","A","1999",23.71132,
"CZE","GGDEBT","TOT","PC_GDP","A","2000",24.3157,
"CZE","GGDEBT","TOT","PC_GDP","A","2001",28.27791,
"CZE","GGDEBT","TOT","PC_GDP","A","2002",30.58475,
"CZE","GGDEBT","TOT","PC_GDP","A","2003",33.31659,
"CZE","GGDEBT","TOT","PC_GDP","A","2004",32.90155,
"CZE","GGDEBT","TOT","PC_GDP","A","2005",32.40132,
"CZE","GGDEBT","TOT","PC_GDP","A","2006",31.97211,
"CZE","GGDEBT","TOT","PC_GDP","A","2007",30.56147,
"CZE","GGDEBT","TOT","PC_GDP","A","2008",32.96545,
"CZE","GGDEBT","TOT","PC_GDP","A","2009",39.66047,
"CZE","GGDEBT","TOT","PC_GDP","A","2010",44.05919,
"CZE","GGDEBT","TOT","PC_GDP","A","2011",46.98329,
"CZE","GGDEBT","TOT","PC_GDP","A","2012",56.23002,
"CZE","GGDEBT","TOT","PC_GDP","A","2013",55.96956,
"CZE","GGDEBT","TOT","PC_GDP","A","2014",54.84251,
"CZE","GGDEBT","TOT","PC_GDP","A","2015",51.70708,
"CZE","GGDEBT","TOT","PC_GDP","A","2016",47.43294,
"CZE","GGDEBT","TOT","PC_GDP","A","2017",43.32781,
"CZE","GGDEBT","TOT","PC_GDP","A","2018",39.73836,
"CZE","GGDEBT","TOT","PC_GDP","A","2019",37.46101,
"CZE","GGDEBT","TOT","PC_GDP","A","2020",46.53848,
"DNK","GGDEBT","TOT","PC_GDP","A","1995",81.55622,
"DNK","GGDEBT","TOT","PC_GDP","A","1996",79.12815,
"DNK","GGDEBT","TOT","PC_GDP","A","1997",75.00217,
"DNK","GGDEBT","TOT","PC_GDP","A","1998",72.57378,
"DNK","GGDEBT","TOT","PC_GDP","A","1999",67.09554,
"DNK","GGDEBT","TOT","PC_GDP","A","2000",60.4558,
"DNK","GGDEBT","TOT","PC_GDP","A","2001",58.27705,
"DNK","GGDEBT","TOT","PC_GDP","A","2002",58.14748,
"DNK","GGDEBT","TOT","PC_GDP","A","2003",56.06913,
"DNK","GGDEBT","TOT","PC_GDP","A","2004",52.3359,
"DNK","GGDEBT","TOT","PC_GDP","A","2005",45.11943,
"DNK","GGDEBT","TOT","PC_GDP","A","2006",40.49266,
"DNK","GGDEBT","TOT","PC_GDP","A","2007",34.59382,
"DNK","GGDEBT","TOT","PC_GDP","A","2008",41.93992,
"DNK","GGDEBT","TOT","PC_GDP","A","2009",49.26747,
"DNK","GGDEBT","TOT","PC_GDP","A","2010",53.44129,
"DNK","GGDEBT","TOT","PC_GDP","A","2011",60.11121,
"DNK","GGDEBT","TOT","PC_GDP","A","2012",60.61518,
"DNK","GGDEBT","TOT","PC_GDP","A","2013",56.73219,
"DNK","GGDEBT","TOT","PC_GDP","A","2014",59.14192,
"DNK","GGDEBT","TOT","PC_GDP","A","2015",53.42833,
"DNK","GGDEBT","TOT","PC_GDP","A","2016",51.5063,
"DNK","GGDEBT","TOT","PC_GDP","A","2017",48.98525,
"DNK","GGDEBT","TOT","PC_GDP","A","2018",47.18268,
"DNK","GGDEBT","TOT","PC_GDP","A","2019",48.12441,
"DNK","GGDEBT","TOT","PC_GDP","A","2020",58.1479,
"FIN","GGDEBT","TOT","PC_GDP","A","1995",62.91692,
"FIN","GGDEBT","TOT","PC_GDP","A","1996",63.74421,
"FIN","GGDEBT","TOT","PC_GDP","A","1997",62.12785,
"FIN","GGDEBT","TOT","PC_GDP","A","1998",59.07416,
"FIN","GGDEBT","TOT","PC_GDP","A","1999",53.02011,
"FIN","GGDEBT","TOT","PC_GDP","A","2000",50.94326,
"FIN","GGDEBT","TOT","PC_GDP","A","2001",48.34126,
"FIN","GGDEBT","TOT","PC_GDP","A","2002",48.17222,
"FIN","GGDEBT","TOT","PC_GDP","A","2003",49.13574,
"FIN","GGDEBT","TOT","PC_GDP","A","2004",49.30964,
"FIN","GGDEBT","TOT","PC_GDP","A","2005",46.4469,
"FIN","GGDEBT","TOT","PC_GDP","A","2006",43.01116,
"FIN","GGDEBT","TOT","PC_GDP","A","2007",38.99194,
"FIN","GGDEBT","TOT","PC_GDP","A","2008",38.17002,
"FIN","GGDEBT","TOT","PC_GDP","A","2009",49.0363,
"FIN","GGDEBT","TOT","PC_GDP","A","2010",54.80778,
"FIN","GGDEBT","TOT","PC_GDP","A","2011",57.23593,
"FIN","GGDEBT","TOT","PC_GDP","A","2012",63.98922,
"FIN","GGDEBT","TOT","PC_GDP","A","2013",64.522,
"FIN","GGDEBT","TOT","PC_GDP","A","2014",71.26928,
"FIN","GGDEBT","TOT","PC_GDP","A","2015",75.23145,
"FIN","GGDEBT","TOT","PC_GDP","A","2016",75.60892,
"FIN","GGDEBT","TOT","PC_GDP","A","2017",73.04077,
"FIN","GGDEBT","TOT","PC_GDP","A","2018",69.94621,
"FIN","GGDEBT","TOT","PC_GDP","A","2019",69.91228,
"FIN","GGDEBT","TOT","PC_GDP","A","2020",81.43575,
"FRA","GGDEBT","TOT","PC_GDP","A","1995",67.29042,
"FRA","GGDEBT","TOT","PC_GDP","A","1996",73.29137,
"FRA","GGDEBT","TOT","PC_GDP","A","1997",75.95255,
"FRA","GGDEBT","TOT","PC_GDP","A","1998",77.6053,
"FRA","GGDEBT","TOT","PC_GDP","A","1999",74.01518,
"FRA","GGDEBT","TOT","PC_GDP","A","2000",72.42918,
"FRA","GGDEBT","TOT","PC_GDP","A","2001",71.47308,
"FRA","GGDEBT","TOT","PC_GDP","A","2002",75.16156,
"FRA","GGDEBT","TOT","PC_GDP","A","2003",79.07757,
"FRA","GGDEBT","TOT","PC_GDP","A","2004",80.54945,
"FRA","GGDEBT","TOT","PC_GDP","A","2005",82.14224,
"FRA","GGDEBT","TOT","PC_GDP","A","2006",77.26933,
"FRA","GGDEBT","TOT","PC_GDP","A","2007",75.94181,
"FRA","GGDEBT","TOT","PC_GDP","A","2008",82.50349,
"FRA","GGDEBT","TOT","PC_GDP","A","2009",97.5731,
"FRA","GGDEBT","TOT","PC_GDP","A","2010",100.9953,
"FRA","GGDEBT","TOT","PC_GDP","A","2011",103.8066,
"FRA","GGDEBT","TOT","PC_GDP","A","2012",111.9382,
"FRA","GGDEBT","TOT","PC_GDP","A","2013",112.4676,
"FRA","GGDEBT","TOT","PC_GDP","A","2014",120.1551,
"FRA","GGDEBT","TOT","PC_GDP","A","2015",120.8252,
"FRA","GGDEBT","TOT","PC_GDP","A","2016",123.6707,
"FRA","GGDEBT","TOT","PC_GDP","A","2017",122.9442,
"FRA","GGDEBT","TOT","PC_GDP","A","2018",120.7452,
"FRA","GGDEBT","TOT","PC_GDP","A","2019",123.088,
"FRA","GGDEBT","TOT","PC_GDP","A","2020",145.808,
"DEU","GGDEBT","TOT","PC_GDP","A","1995",54.24562,
"DEU","GGDEBT","TOT","PC_GDP","A","1996",57.34576,
"DEU","GGDEBT","TOT","PC_GDP","A","1997",58.83864,
"DEU","GGDEBT","TOT","PC_GDP","A","1998",61.02288,
"DEU","GGDEBT","TOT","PC_GDP","A","1999",61.34218,
"DEU","GGDEBT","TOT","PC_GDP","A","2000",62.8784,
"DEU","GGDEBT","TOT","PC_GDP","A","2001",61.51339,
"DEU","GGDEBT","TOT","PC_GDP","A","2002",64.33588,
"DEU","GGDEBT","TOT","PC_GDP","A","2003",67.14529,
"DEU","GGDEBT","TOT","PC_GDP","A","2004",69.06887,
"DEU","GGDEBT","TOT","PC_GDP","A","2005",71.62417,
"DEU","GGDEBT","TOT","PC_GDP","A","2006",68.97383,
"DEU","GGDEBT","TOT","PC_GDP","A","2007",66.34418,
"DEU","GGDEBT","TOT","PC_GDP","A","2008",70.86845,
"DEU","GGDEBT","TOT","PC_GDP","A","2009",77.74439,
"DEU","GGDEBT","TOT","PC_GDP","A","2010",87.08134,
"DEU","GGDEBT","TOT","PC_GDP","A","2011",86.12257,
"DEU","GGDEBT","TOT","PC_GDP","A","2012",88.60544,
"DEU","GGDEBT","TOT","PC_GDP","A","2013",84.0567,
"DEU","GGDEBT","TOT","PC_GDP","A","2014",83.8833,
"DEU","GGDEBT","TOT","PC_GDP","A","2015",79.75111,
"DEU","GGDEBT","TOT","PC_GDP","A","2016",76.96603,
"DEU","GGDEBT","TOT","PC_GDP","A","2017",72.35247,
